filename,Final_Inf,Final_Moist,Final_Edge,original_folder,Wound_ID,full_image_path,fold,source,image_dir,inf_conf_Final,moist_conf_Final,edge_conf_Final
wound001_01.jpg,0,1,1,wound001,wound001,/content/drive/MyDrive/Wound_Assessment/Extracted_Images/wound001_01.jpg,0.0,expert,/content/drive/MyDrive/Wound_Assessment/Segmented_Dataset_Final_v2/,,,
wound001_02.jpg,0,1,1,wound001,wound001,/content/drive/MyDrive/Wound_Assessment/Extracted_Images/wound001_02.jpg,0.0,expert,/content/drive/MyDrive/Wound_Assessment/Segmented_Dataset_Final_v2/,,,
wound001_03.jpg,0,1,1,wound001,wound001,/content/drive/MyDrive/Wound_Assessment/Extracted_Images/wound001_03.jpg,0.0,expert,/content/drive/MyDrive/Wound_Assessment/Segmented_Dataset_Final_v2/,,,
wound002_01.jpg,0,0,-1,wound002,wound002,/content/drive/MyDrive/Wound_Assessment/Extracted_Images/wound002_01.jpg,1.0,expert,/content/drive/MyDrive/Wound_Assessment/Segmented_Dataset_Final_v2/,,,
wound002_02.jpg,0,0,-1,wound002,wound002,/content/drive/MyDrive/Wound_Assessment/Extracted_Images/wound002_02.jpg,1.0,expert,/content/drive/MyDrive/Wound_Assessment/Segmented_Dataset_Final_v2/,,,
wound003.jpg,1,1,0,wound003,wound003,/content/drive/MyDrive/Wound_Assessment/Extracted_Images/wound003.jpg,4.0,expert,/content/drive/MyDrive/Wound_Assessment/Segmented_Dataset_Final_v2/,,,
wound004.jpg,1,2,0,wound004,wound004,/content/drive/MyDrive/Wound_Assessment/Extracted_Images/wound004.jpg,0.0,expert,/content/drive/MyDrive/Wound_Assessment/Segmented_Dataset_Final_v2/,,,
wound005.jpg,0,1,1,wound005,wound005,/content/drive/MyDrive/Wound_Assessment/Extracted_Images/wound005.jpg,1.0,expert,/content/drive/MyDrive/Wound_Assessment/Segmented_Dataset_Final_v2/,,,
wound006.jpg,1,1,1,wound006,wound006,/content/drive/MyDrive/Wound_Assessment/Extracted_Images/wound006.jpg,1.0,expert,/content/drive/MyDrive/Wound_Assessment/Segmented_Dataset_Final_v2/,,,
wound007.jpg,1,1,1,wound007,wound007,/content/drive/MyDrive/Wound_Assessment/Extracted_Images/wound007.jpg,4.0,expert,/content/drive/MyDrive/Wound_Assessment/Segmented_Dataset_Final_v2/,,,
